id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,12228,2010-07-13T00:00:00.000Z,"{mineable,pow,sha-256,store-of-value,state-channel,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures-portfolio,galaxy-digital-portfolio,huobi-capital-portfolio,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital-portfolio,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-portfolio,bitcoin-ecosystem,layer-1,ftx-bankruptcy-estate,2017-2018-alt-season,us-strategic-crypto-reserve,binance-ecosystem,binance-listing}",21000000.0,19883162.0,19883162.0,False,,1,,,,2025-06-25T07:13:00.000Z,106400.86055010172,47137293938.61663,-28.2108,0.17873989,0.7968472,1.42710035,-3.31138456,12.31739992,21.77705277,2115585547257.0815,64.5364,2234418071552.14,,2025-06-25T07:13:00.000Z,,,,,,2025-06-25 12:44:52.932190
1027,Ethereum,ETH,ethereum,10357,2015-08-07T00:00:00.000Z,"{pos,smart-contracts,ethereum-ecosystem,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures-portfolio,hashkey-capital-portfolio,kenetic-capital-portfolio,huobi-capital-portfolio,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital-portfolio,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-portfolio,ethereum-pow-ecosystem,layer-1,ftx-bankruptcy-estate,sora-ecosystem,rsk-rbtc-ecosystem,world-liberty-financial-portfolio,us-strategic-crypto-reserve,binance-ecosystem,binance-listing}",,120718763.3691325,120718763.3691325,True,,2,,,,2025-06-25T07:13:00.000Z,2442.6666692357903,19115154603.05081,-25.0422,0.3632786,0.87427901,-3.13977227,-5.71118601,35.06651129,20.49773321,294875699633.14246,8.9952,294875699633.14,,2025-06-25T07:13:00.000Z,,,,,,2025-06-25 12:44:52.932190
825,Tether USDt,USDT,tether,133808,2015-02-25T00:00:00.000Z,"{stablecoin,asset-backed-stablecoin,usd-stablecoin,ethereum-pow-ecosystem,fiat-stablecoin,tron20-ecosystem,rsk-rbtc-ecosystem,world-liberty-financial-portfolio,binance-ecosystem,binance-listing}",,156342070025.30093,159826220711.0572,True,,3,,,,2025-06-25T07:12:00.000Z,1.0004635698969415,69657472450.38931,-32.0925,-0.0006597,-0.04888458,0.02260791,0.00613133,0.00568363,0.02948196,156414545502.59018,4.7706,159900311335.72,,2025-06-25T07:12:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-06-25 12:44:52.932190
52,XRP,XRP,xrp,1632,2013-08-04T00:00:00.000Z,"{medium-of-exchange,enterprise-solutions,xrp-ecosystem,arrington-xrp-capital-portfolio,galaxy-digital-portfolio,a16z-portfolio,pantera-capital-portfolio,ftx-bankruptcy-estate,2017-2018-alt-season,klaytn-ecosystem,made-in-america,us-strategic-crypto-reserve,binance-ecosystem,binance-listing}",100000000000.0,58938652386.0,99986013292.0,False,,4,,,,2025-06-25T07:13:00.000Z,2.1807783568355683,3046388000.710848,-37.7812,0.2722766,-0.41436809,1.2542525,-7.48829084,-2.00661681,-7.74639512,128532137504.44383,3.9209,218077835683.56,,2025-06-25T07:13:00.000Z,,,,,,2025-06-25 12:44:52.932190
1839,BNB,BNB,bnb,2592,2017-07-25T00:00:00.000Z,"{marketplace,centralized-exchange,payments,smart-contracts,alameda-research-portfolio,multicoin-capital-portfolio,bnb-chain-ecosystem,layer-1,alleged-sec-securities,celsius-bankruptcy-estate,binance-ecosystem,binance-listing}",,140885745.27,140885745.27,False,,5,,,,2025-06-25T07:12:00.000Z,645.694420183004,1601034110.9948013,-10.4723,0.23852306,0.63913539,-0.86605008,-4.41678077,6.74523903,1.57400376,90969139604.16306,2.7743,90969139604.16,,2025-06-25T07:12:00.000Z,,,,,,2025-06-25 12:44:52.932190
5426,Solana,SOL,solana,940,2020-04-10T00:00:00.000Z,"{pos,platform,solana-ecosystem,cms-holdings-portfolio,kenetic-capital-portfolio,alameda-research-portfolio,multicoin-capital-portfolio,okx-ventures-portfolio,layer-1,ftx-bankruptcy-estate,alleged-sec-securities,cmc-crypto-awards-2024,made-in-america,us-strategic-crypto-reserve,binance-ecosystem,binance-listing}",,531332405.5899855,603871598.2417777,True,,6,525236893.3,76822414364.4319,,2025-06-25T07:12:00.000Z,146.26241100804236,3381920630.6038737,-42.056,0.51428212,0.11472043,-0.80128734,-18.26807096,-3.90043647,5.50530537,77713958688.29433,2.3701,88323715898.12,,2025-06-25T07:12:00.000Z,,,,,,2025-06-25 12:44:52.932190
3408,USDC,USDC,usd-coin,28863,2018-10-08T00:00:00.000Z,"{medium-of-exchange,stablecoin,asset-backed-stablecoin,coinbase-ventures-portfolio,usd-stablecoin,ethereum-pow-ecosystem,fiat-stablecoin,tron20-ecosystem,made-in-america,world-liberty-financial-portfolio,binance-ecosystem,binance-listing}",,61786299751.48691,61786299751.48691,False,,7,60901219650.23,60904843356.05954,,2025-06-25T07:12:00.000Z,1.0000595013671376,11038361173.713076,-28.9604,0.0086698,-0.00967624,0.01002107,0.00811433,0.01453101,0.01025906,61789976120.792496,1.8846,61789976120.79,,2025-06-25T07:12:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-06-25 12:44:52.932190
1958,TRON,TRX,tron,1190,2017-09-13T00:00:00.000Z,"{media,payments,tron-ecosystem,layer-1,dwf-labs-portfolio,alleged-sec-securities,2017-2018-alt-season,tron20-ecosystem,world-liberty-financial-portfolio,binance-ecosystem,binance-listing}",,94811166883.73604,94811201144.07063,True,,8,71659659264.0,19675160540.206207,,2025-06-25T07:13:00.000Z,0.2745639700535181,471898315.384143,-35.9713,0.04951146,0.679811,0.16888865,0.76714734,11.54112847,18.17943961,26031730385.00521,0.7941,26031739791.66,,2025-06-25T07:13:00.000Z,,,,,,2025-06-25 12:44:52.932190
74,Dogecoin,DOGE,dogecoin,1240,2013-12-15T00:00:00.000Z,"{mineable,pow,scrypt,medium-of-exchange,memes,payments,doggone-doggerel,osmosis-ecosystem,ftx-bankruptcy-estate,animal-memes,made-in-america,binance-ecosystem,binance-listing}",,149829566383.70526,149829566383.70526,True,,9,,,,2025-06-25T07:13:00.000Z,0.16638528282721718,917544934.1649282,-35.4799,0.76819415,-0.06872426,-2.45119104,-27.71010881,-11.17536029,-15.6699959,24929434778.63211,0.7605,24929434778.63,,2025-06-25T07:13:00.000Z,,,,,,2025-06-25 12:44:52.932190
2010,Cardano,ADA,cardano,1534,2017-10-01T00:00:00.000Z,"{dpos,pos,platform,research,smart-contracts,staking,cardano-ecosystem,cardano,layer-1,alleged-sec-securities,2017-2018-alt-season,made-in-america,us-strategic-crypto-reserve,binance-ecosystem,binance-listing}",45000000000.0,35372023764.01945,44995088366.06753,False,,10,,,,2025-06-25T07:13:00.000Z,0.5822440795533909,670051773.4708791,-41.6018,0.31716351,-1.53569373,-5.10195854,-24.57212954,-20.08160878,-21.33893951,20595151418.422173,0.6283,26200983579.9,,2025-06-25T07:13:00.000Z,,,,,,2025-06-25 12:44:52.932190
